a                    a
ah                   ah
aha                  aha
aj                   aj
ako                  ako
al.                  al.
ali                  ali
arh.                 arh.
au                   au
avaj                 avaj
bar                  bar
baš                  baš
bez                  bez
biti                 budavši
biti                 budući
biti                 bih
biti                 bi
biti                 bi
biti                 bismo
biti                 biste
biti                 biše
biti                 bi
biti                 bijah
biti                 bijaše
biti                 bijaše
biti                 bijasmo
biti                 bijaste
biti                 bijahu
biti                 budi
biti                 bude
biti                 budimo
biti                 budite
biti                 budu
biti                 budem
biti                 budeš
biti                 bude
biti                 budemo
biti                 budete
biti                 budu
biti                 jesam
biti                 jesi
biti                 jest
biti                 jesmo
biti                 jeste
biti                 jesu
biti                 sam
biti                 si
biti                 je
biti                 smo
biti                 ste
biti                 su
biti                 nisam
biti                 nisi
biti                 nije
biti                 nismo
biti                 niste
biti                 nisu
biti                 bio
biti                 bila
biti                 bilo
biti                 bili
biti                 bile
biti                 bila
bivati               bivavši
bivati               bivajući
bivati               bivam
bivati               bivaš
bivati               biva
bivati               bivamo
bivati               bivate
bivati               bivaju
blizu                blizu
blizu                blizu
brr                  brr
bum                  bum
buć                  buć
d.                   d.
da                   da
da                   da
dakle                dakle
danas                danas
davno                davno
de                   de
deder                deder
dir.                 dir.
djelimično           djelimično
djelomice            djelomice
do                   do
dogodine             dogodine
doista               doista
dok                  dok
dokle                dokle
dolje                dolje
donekle              donekle
donle                donle
dosad                dosad
doskoro              doskoro
dosta                dosta
dotad                dotad
dotle                dotle
dovečer              dovečer
dovle                dovle
dr.                  dr.
drugamo              drugamo
drugdje              drugdje
druguda              druguda
dum                  dum
duž                  duž
dvaput               dvaput
e                    e
eg.                  eg.
eh                   eh
ehe                  ehe
ej                   ej
eno                  eno
eno                  eno
eto                  eto
eto                  eto
evo                  evo
evo                  evo
fra.                 fra.
g.                   g.
gdin.                gdin.
gdje                 gdje
gdjegdje             gdjegdje
gdjekad              gdjekad
gdjekakav            gdjekakav
gdjekakav            gdjekakvi
gdjekakav            gdjekakva
gdjekakav            gdjekakvo
gdjekakav            gdjekakva
gdjekakav            gdjekakvoga
gdjekakav            gdjekakvog
gdjekakav            gdjekakve
gdjekakav            gdjekakva
gdjekakav            gdjekakvoga
gdjekakav            gdjekakvog
gdjekakav            gdjekakvu
gdjekakav            gdjekakvomu
gdjekakav            gdjekakvom
gdjekakav            gdjekakvoj
gdjekakav            gdjekakvu
gdjekakav            gdjekakvomu
gdjekakav            gdjekakvom
gdjekakav            gdjekakva
gdjekakav            gdjekakvoga
gdjekakav            gdjekakvog
gdjekakav            gdjekakvu
gdjekakav            gdjekakvo
gdjekakav            gdjekakvi
gdjekakav            gdjekakva
gdjekakav            gdjekakvo
gdjekakav            gdjekakvu
gdjekakav            gdjekakvom
gdjekakav            gdjekakvome
gdjekakav            gdjekakvoj
gdjekakav            gdjekakvu
gdjekakav            gdjekakvom
